Date,FluApos,FluBpos,FluPos,FluTest,RSVtest,RSVpos,adenot,adeno,parat,para,Rhinot,Rhino,hMPVt,hMPV,Coronat,Corona
18-Jan-15,1165,9,1174,3762,3078,241,2702,24,2702,69,1119,56,2109,18,592,35
25-Jan-15,1072,13,1085,3593,3077,271,2754,25,2754,53,1011,75,2390,19,644,60
1-Feb-15,730,15,745,3024,2699,258,2350,27,2350,38,935,38,2301,21,588,48
8-Feb-15,591,43,634,2750,2343,190,2128,25,2128,46,850,34,1801,27,540,48
15-Feb-15,426,30,456,2206,1871,153,1616,30,1616,27,714,30,1578,20,421,31
22-Feb-15,358,53,411,2344,2165,195,1890,31,1890,49,734,41,1871,49,496,50
1-Mar-15,249,56,305,1959,1864,170,1673,33,1673,59,814,42,1626,46,527,62
8-Mar-15,205,99,304,1836,1720,119,1540,22,1540,47,664,34,1515,51,516,34
15-Mar-15,155,126,281,1830,1723,123,1487,25,1487,50,625,94,1456,66,418,67
22-Mar-15,97,132,229,1719,1563,94,1305,12,1305,52,597,45,1269,59,336,29
29-Mar-15,66,120,186,1309,1267,77,1169,15,1231,58,553,48,1233,88,352,21
5-Apr-15,46,129,175,1468,1302,87,1062,21,1062,41,506,30,1043,76,265,17
12-Apr-15,39,166,205,1623,1553,79,1325,13,1325,66,681,31,1307,96,441,25
19-Apr-15,21,148,169,1195,1162,40,1162,25,1162,77,582,54,1140,84,286,17
26-Apr-15,9,99,108,1301,1260,35,1033,16,1033,63,462,38,1006,61,268,8
3-May-15,9,93,102,1198,1150,30,930,13,930,60,433,31,901,67,258,8
10-May-15,4,56,60,950,990,22,846,16,846,54,429,26,816,52,204,8
17-May-15,2,34,36,886,839,6,648,9,648,32,327,43,627,28,197,10
24-May-15,3,24,27,877,875,7,655,15,683,39,286,23,652,17,149,5
31-May-15,3,16,19,626,686,4,508,12,508,34,230,27,483,8,138,3
7-Jun-15,7,6,13,701,700,3,535,9,560,41,259,40,538,16,184,9
14-Jun-15,9,4,13,583,585,1,408,9,432,32,183,31,412,7,110,1
21-Jun-15,7,4,11,577,583,0,429,11,449,24,215,27,428,9,132,1
28-Jun-15,3,1,4,586,572,1,426,22,438,13,194,25,416,4,118,2
5-Jul-15,3,0,3,558,563,3,398,11,415,19,167,27,406,6,94,1
12-Jul-15,2,0,2,580,575,1,413,9,425,18,163,23,410,1,106,0
19-Jul-15,5,0,5,512,520,0,379,9,394,13,208,33,376,3,148,1
26-Jul-15,9,0,9,491,482,1,317,10,330,16,169,19,305,0,102,0
2-Aug-15,3,1,4,457,460,1,322,10,331,7,166,21,307,1,102,0
9-Aug-15,1,0,1,399,390,0,272,4,282,9,141,24,256,0,80,0
16-Aug-15,0,0,0,493,494,1,365,7,372,10,190,31,353,2,138,0
23-Aug-15,1,0,1,469,467,0,323,4,342,5,205,39,324,0,97,0
